title,is_active
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
Ler documentação,True
Escrever testes,False
Revisar código,True
Refatorar módulos,False
Planejar sprints,True
Atualizar dependências,False
Corrigir bugs críticos,True
Escrever documentação,False
Fazer code review,True
Testar endpoints,False
Melhorar performance,True
Configurar CI/CD,False
Fazer deploy,True
Criar novos testes,False
Otimizar queries,True
Atualizar README,False
Ajustar layout,True
Integrar API externa,False
Limpar código morto,True
Validar entradas,False
